Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
-----------------------------------------------
                1.56    0.00     764/764         decode_frame [10]
[11]     6.7    1.56    0.00     764         mp_decode_frame [11]
                0.00    0.00   54871/54871       ff_mpa_synth_filter [89]
                0.00    0.00     764/764         ff_mpa_l2_select_table [125]
-----------------------------------------------
                0.00    1.56       1/1           av_find_stream_info [8]
[12]     6.7    0.00    1.56       1         avcodec_decode_audio3 [12]
                0.00    1.56     764/764         decode_frame [10]
-----------------------------------------------
                                                 <spontaneous>
[13]     2.9    0.68    0.00                 img_convert [13]
                0.00    0.00     466/466         yuv420p_to_rgb24 [139]
-----------------------------------------------
                0.46    0.00     467/467         ff_h263_decode_frame [1]
[14]     2.0    0.46    0.00     467         MPV_frame_end [14]
                0.00    0.00    1401/1401        draw_edges_c [114]
-----------------------------------------------
                0.01    0.42      56/56          av_find_stream_info [8]
[15]     1.9    0.01    0.42      56         av_read_frame_internal [15]
                0.03    0.13    1096/1098        av_free_packet [21]
                0.00    0.11    1096/1096        av_read_packet [25]
                0.02    0.07    1095/1095        av_parser_parse2 [26]
                0.07    0.00    1094/1094        compute_pkt_fields [27]
                0.00    0.00    1097/3289        av_init_packet [108]
-----------------------------------------------
                                                 <spontaneous>
[16]     1.7    0.00    0.39                 av_open_input_file [16]
                0.00    0.36       1/1           av_open_input_stream [17]
                0.00    0.02       1/1           ff_probe_input_buffer [38]
                0.01    0.01       1/1           av_probe_input_format [39]
                0.00    0.00       1/1           url_fopen [68]
-----------------------------------------------
