Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00    1778/3568        avcodec_check_dimensions [123]
-----------------------------------------------
                0.17   88.60    1778/1778        avcodec_decode_video2 [1]
[2]     88.7    0.17   88.60    1778         ff_h263_decode_frame [2]
               12.95   74.36    1778/1778        decode_slice [3]
                1.11    0.00    1777/1777        MPV_frame_end [14]
                0.10    0.00    1778/3436        decode_vop_header [27]
                0.02    0.05    1778/1778        MPV_frame_start [31]
                0.00    0.01       1/1           MPV_common_init [48]
                0.00    0.00    1779/3437        ff_mpeg4_decode_picture_header [125]
                0.00    0.00    1779/1779        init_get_bits [131]
                0.00    0.00    1778/1778        ff_find_unused_picture [133]
                0.00    0.00    1778/1778        ff_er_frame_start [132]
                0.00    0.00    1777/1777        ff_er_frame_end [137]
                0.00    0.00    1775/1775        get_consumed_bytes [140]
                0.00    0.00    1775/1775        ff_print_debug_info [139]
-----------------------------------------------
               12.95   74.36    1778/1778        ff_h263_decode_frame [2]
[3]     87.2   12.95   74.36    1778         decode_slice [3]
               17.47   20.95 1564223/1564223     MPV_decode_mb [4]
               22.64   13.30 1564225/1564225     mpeg4_decode_mb [5]
                0.00    0.00 1564224/1564224     ff_h263_update_motion_val [82]
                0.00    0.00   39106/39106       ff_init_block_index [99]
                0.00    0.00   39105/39105       ff_draw_horiz_band [100]
                0.00    0.00    1778/1778        ff_set_qscale [134]
                0.00    0.00    1777/1777        ff_er_add_slice [136]
-----------------------------------------------
               17.47   20.95 1564223/1564223     decode_slice [3]
[4]     38.4   17.47   20.95 1564223         MPV_decode_mb [4]
               12.29    0.00 1384157/1384157     put_dct [7]
                8.66    0.00  885293/885293      MPV_motion [8]
                0.00    0.00 5311757/5311757     add_dct [80]
                0.00    0.00  190585/190585      ff_clean_intra_table_entries [92]
-----------------------------------------------
               22.64   13.30 1564225/1564225     decode_slice [3]
[5]     35.9   22.64   13.30 1564225         mpeg4_decode_mb [5]
               13.30    0.00 5244910/5244910     mpeg4_decode_block [6]
